"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_DISPLAY_MED_SALES_RATIO"
"R812C",8,461626.434672045,0.534593101613833,2.624671916,2.755905512,5.774278215,82.80839895,0.580493900591106
"R812E",8,416818.093303009,0.598243421969352,12.4201278,41.33386581,7.068690096,34.94408946,0.629249565736012
"R813A",37,572568.578553616,0.562301913916786,0.136182694324324,17.6253832308919,4.14260033145946,73.7847713372973,0.603629032258065
"R813B",51,680024.21307506,0.630926864590876,0.407830021647059,7.52812757452941,4.01264899972549,83.7574803629412,0.630926864590876
"R813C",89,903389.830508475,0.617693539762891,6.20247266167416,14.6927210534831,7.25076096294382,69.7939949682022,0.661389795918367
"R813G",14,935054.947881264,0.60676171287976,3.13186813178571,22.1381578921429,2.71291208764286,71.4676113357143,0.67449936134154
"R813H",11,790000,0.654483605378361,0.541483665272727,8.499522317,5.64099718345455,83.9418507754545,0.649729487179487
"R813L",23,915087.281795511,0.59582609913454,8.769230769,16,3.846153846,69.84615385,0.591498064516129
"R814B",10,662182.04488778,0.591824387392525,2.978160159,3.904698875,3.37524818,83.38848445,0.589621595580678
"R814C",8,332506.04520565,0.579705009678668,0,47.63979666,13.7254902,37.69063181,0.636733679558011
"R814D",18,441729.893778452,0.494415285428164,1.10398020594444,5.81188230522222,6.75479092261111,71.68360318,0.600115588303016
"R814E",34,487830.42394015,0.540030673234126,2.978160159,3.904698875,3.37524818,83.38848445,0.588082193311686
"R814F",12,453266.953681172,0.547423184072794,1.085141903,9.18196995,0.667779633,76.79465776,0.577188013196481
"R814G",15,613466.334164589,0.540451825203252,0,0,9.262166405,62.95133438,0.571716981132075
"R814H",9,370000,0.545414670333647,8.769230769,16,3.846153846,69.84615385,0.570889189189189
"R814I",5,724697.336561743,0.574969685933846,2.978160159,3.904698875,3.37524818,83.38848445,0.571151773049645
"R815A",30,521316.412358933,0.580706004222643,0.5425709515,32.79611318,3.66722315,55.723336205,0.614982275132275
"R815B",30,489348.394945867,0.564044788226317,0.940456315933333,11.7183910506667,1.6406645534,73.062259994,0.613816481012658
"R815F",6,227581.047381546,0.507733359544573,0,33.06421976,8.69909054666667,52.06940665,0.537309260832625
"R815G",9,429286.798179059,0.502137519669552,0,24.79240807,13.04863582,60.26097272,0.608394202898551
"R816B",43,613466.334164589,0.576227272727273,0.117508813,2.23266745,0,92.00940071,0.619333928571429
