"VCS_block","VCS_SALES_QUARTILE","VCS_OVER_UNDER","count"
"R718E","Q1","over",1
"R718E","Q1","under",0
"R718E","Q2","accurate",3
"R718E","Q2","over",0
"R718E","Q2","under",0
"R718E","Q3","accurate",3
"R718E","Q3","over",0
"R718E","Q3","under",0
"R718E","Q4","accurate",1
"R718E","Q4","over",0
"R718E","Q4","under",2
"R718F","Q1","accurate",2
"R718F","Q1","over",6
"R718F","Q1","under",0
"R718F","Q2","accurate",6
"R718F","Q2","over",1
"R718F","Q2","under",0
"R718F","Q3","accurate",8
"R718F","Q3","over",0
"R718F","Q3","under",0
"R718F","Q4","accurate",4
"R718F","Q4","over",0
"R718F","Q4","under",2
"R718G","Q1","accurate",0
"R718G","Q1","over",2
"R718G","Q1","under",0
"R718G","Q2","accurate",1
"R718G","Q2","over",1
"R718G","Q2","under",0
"R718G","Q3","accurate",0
"R718G","Q3","over",0
"R718G","Q3","under",1
"R718G","Q4","accurate",0
"R718G","Q4","over",0
"R718G","Q4","under",2
"R718H","Q1","accurate",4
"R718H","Q1","over",1
"R718H","Q1","under",0
"R718H","Q2","accurate",4
"R718H","Q2","over",1
"R718H","Q2","under",0
"R718H","Q3","accurate",2
"R718H","Q3","over",1
"R718H","Q3","under",1
"R718H","Q4","accurate",3
"R718H","Q4","over",0
"R718H","Q4","under",2
"R718I","Q1","accurate",1
"R718I","Q1","over",1
"R718I","Q1","under",0
"R718I","Q2","accurate",1
"R718I","Q2","over",1
"R718I","Q2","under",0
"R718I","Q3","accurate",1
"R718I","Q3","over",0
"R718I","Q3","under",0
"R718I","Q4","accurate",1
"R718I","Q4","over",0
"R718I","Q4","under",1
"R718J","Q1","accurate",1
"R718J","Q1","over",1
"R718J","Q1","under",0
"R718J","Q2","accurate",1
"R718J","Q2","over",0
"R718J","Q2","under",0
"R718J","Q3","accurate",0
"R718J","Q3","over",0
"R718J","Q3","under",1
"R718J","Q4","accurate",1
